epoch,fair_train_loss,fair_val_acc,late_train_loss,late_val_acc,epoch_time_s
1,4.833692,0.058734,4.908364,0.056445,911.663741
2,4.593621,0.073227,4.667449,0.064836,343.973409
3,4.519048,0.068650,4.580330,0.066934,332.866172
4,4.444711,0.081236,4.546856,0.072082,338.665626
5,4.254919,0.108124,4.521212,0.069031,336.475101
6,3.990006,0.124333,4.496419,0.061976,329.747041
7,3.758712,0.116705,4.473985,0.072654,334.021271
8,3.544459,0.180015,4.444814,0.076659,339.388709
9,3.311862,0.073989,4.418974,0.057590,335.365502
10,3.100931,0.202326,4.364897,0.058543,333.537494
11,2.887446,0.158467,4.303648,0.073227,337.615960
12,2.683995,0.258200,4.230634,0.080664,327.076438
13,2.505412,0.315599,4.144250,0.081617,335.875138
14,2.359078,0.142449,4.045272,0.092296,336.126276
15,2.228095,0.415713,3.952196,0.094966,337.253934
16,2.097132,0.107551,3.863814,0.125095,343.251316
17,2.005732,0.479977,3.769293,0.137109,344.515063
