site_A,site_B,linear_CKA
a_mid_gap,a_mid_gap,1.000000
a_mid_gap,v_mid_gap,0.870728
a_mid_gap,gate_out_gap,0.980332
a_mid_gap,block2_gap,0.505668
a_mid_gap,penult,0.505668
v_mid_gap,a_mid_gap,0.870728
v_mid_gap,v_mid_gap,1.000000
v_mid_gap,gate_out_gap,0.882249
v_mid_gap,block2_gap,0.562440
v_mid_gap,penult,0.562440
gate_out_gap,a_mid_gap,0.980332
gate_out_gap,v_mid_gap,0.882249
gate_out_gap,gate_out_gap,1.000000
gate_out_gap,block2_gap,0.591027
gate_out_gap,penult,0.591027
block2_gap,a_mid_gap,0.505668
block2_gap,v_mid_gap,0.562440
block2_gap,gate_out_gap,0.591027
block2_gap,block2_gap,1.000000
block2_gap,penult,1.000000
penult,a_mid_gap,0.505668
penult,v_mid_gap,0.562440
penult,gate_out_gap,0.591027
penult,block2_gap,1.000000
penult,penult,1.000000
