class_type,class_name,model,clean_acc,noisy_01,noisy_03,noisy_05,noisy_08,drop_at_03,drop_at_08,n_val
onset,/b/,baseline,0.9667,0.9667,0.9667,0.9417,0.8750,0.0000,0.0917,120
onset,/b/,noisy,0.9500,0.9583,0.9583,0.9667,0.8750,-0.0083,0.0750,120
onset,/d/,baseline,0.9412,0.9412,0.9343,0.9308,0.8616,0.0069,0.0796,289
onset,/d/,noisy,0.9481,0.9516,0.9481,0.9343,0.9135,0.0000,0.0346,289
onset,/f/,baseline,0.9368,0.9348,0.9289,0.8953,0.7134,0.0079,0.2233,506
onset,/f/,noisy,0.9486,0.9526,0.9486,0.9368,0.8597,0.0000,0.0889,506
onset,/h/,baseline,0.9464,0.9524,0.9464,0.9167,0.6250,0.0000,0.3214,168
onset,/h/,noisy,0.9762,0.9702,0.9762,0.9583,0.9226,0.0000,0.0536,168
onset,/k/,baseline,0.9635,0.9609,0.9557,0.9115,0.8073,0.0078,0.1562,384
onset,/k/,noisy,0.9635,0.9635,0.9688,0.9661,0.9193,-0.0052,0.0443,384
onset,/m/,baseline,0.9519,0.9551,0.9423,0.9263,0.7949,0.0096,0.1571,312
onset,/m/,noisy,0.9551,0.9551,0.9679,0.9455,0.8718,-0.0128,0.0833,312
onset,/n/,baseline,0.8988,0.8988,0.8988,0.8690,0.8393,0.0000,0.0595,168
onset,/n/,noisy,0.9286,0.9286,0.9286,0.9167,0.8512,0.0000,0.0774,168
onset,/p/,baseline,0.9662,0.9610,0.9584,0.9325,0.7740,0.0078,0.1922,385
onset,/p/,noisy,0.9558,0.9481,0.9558,0.9377,0.8935,0.0000,0.0623,385
onset,/r/,baseline,0.9524,0.9524,0.9286,0.8988,0.7143,0.0238,0.2381,168
onset,/r/,noisy,0.9583,0.9583,0.9583,0.9345,0.8631,0.0000,0.0952,168
onset,/s/,baseline,0.9558,0.9519,0.9545,0.9324,0.7321,0.0013,0.2237,769
onset,/s/,noisy,0.9623,0.9610,0.9597,0.9519,0.8544,0.0026,0.1079,769
onset,/t/,baseline,0.9090,0.9079,0.9037,0.8783,0.7132,0.0053,0.1958,945
onset,/t/,noisy,0.9164,0.9164,0.9259,0.9175,0.8868,-0.0095,0.0296,945
onset,/w/,baseline,0.9430,0.9430,0.9378,0.9223,0.8394,0.0052,0.1036,193
onset,/w/,noisy,0.9793,0.9793,0.9793,0.9741,0.9016,0.0000,0.0777,193
onset,other,baseline,0.9286,0.9256,0.9256,0.8869,0.7262,0.0030,0.2024,336
onset,other,noisy,0.9345,0.9345,0.9315,0.9048,0.8333,0.0030,0.1012,336
onset,vowel,baseline,0.9376,0.9428,0.9415,0.9259,0.8622,-0.0039,0.0754,769
onset,vowel,noisy,0.9571,0.9558,0.9532,0.9532,0.9103,0.0039,0.0468,769
syllables,1,baseline,0.9300,0.9296,0.9262,0.8969,0.7307,0.0038,0.1993,2629
syllables,1,noisy,0.9422,0.9418,0.9418,0.9350,0.8779,0.0004,0.0643,2629
syllables,2,baseline,0.9410,0.9405,0.9357,0.9119,0.7881,0.0053,0.1529,2067
syllables,2,noisy,0.9487,0.9478,0.9531,0.9361,0.8747,-0.0044,0.0740,2067
syllables,3,baseline,0.9641,0.9626,0.9583,0.9425,0.8420,0.0057,0.1221,696
syllables,3,noisy,0.9655,0.9670,0.9684,0.9641,0.9181,-0.0029,0.0474,696
syllables,4+,baseline,0.9917,0.9917,1.0000,1.0000,0.8917,-0.0083,0.1000,120
syllables,4+,noisy,1.0000,1.0000,1.0000,0.9917,0.9167,0.0000,0.0833,120
length,Long (8+),baseline,0.9559,0.9571,0.9547,0.9424,0.8297,0.0012,0.1262,816
length,Long (8+),noisy,0.9596,0.9620,0.9669,0.9583,0.9105,-0.0074,0.0490,816
length,Medium (5-7),baseline,0.9487,0.9479,0.9430,0.9218,0.7964,0.0057,0.1523,2456
length,Medium (5-7),noisy,0.9544,0.9536,0.9556,0.9483,0.8888,-0.0012,0.0656,2456
length,Short (<=4),baseline,0.9241,0.9232,0.9201,0.8866,0.7188,0.0040,0.2054,2240
length,Short (<=4),noisy,0.9388,0.9379,0.9393,0.9250,0.8656,-0.0004,0.0732,2240
vowel,/aɪ/,baseline,0.9221,0.9221,0.9291,0.8910,0.7682,-0.0069,0.1540,578
vowel,/aɪ/,noisy,0.9343,0.9394,0.9377,0.9170,0.8529,-0.0035,0.0813,578
vowel,/eɪ/,baseline,0.9583,0.9561,0.9496,0.9298,0.7939,0.0088,0.1645,456
vowel,/eɪ/,noisy,0.9561,0.9518,0.9539,0.9430,0.8750,0.0022,0.0811,456
vowel,/iː/,baseline,0.9195,0.9169,0.9195,0.9221,0.7974,0.0000,0.1221,385
vowel,/iː/,noisy,0.9169,0.9169,0.9351,0.9403,0.9143,-0.0182,0.0026,385
vowel,/æ/,baseline,0.9548,0.9566,0.9512,0.9421,0.8065,0.0036,0.1483,553
vowel,/æ/,noisy,0.9711,0.9711,0.9656,0.9675,0.9114,0.0054,0.0597,553
vowel,/ɔː/,baseline,0.9353,0.9330,0.9169,0.9007,0.7875,0.0185,0.1478,433
vowel,/ɔː/,noisy,0.9492,0.9492,0.9446,0.9423,0.8707,0.0046,0.0785,433
vowel,/ʌ/,baseline,0.9330,0.9307,0.9261,0.8799,0.7321,0.0069,0.2009,433
vowel,/ʌ/,noisy,0.9423,0.9446,0.9469,0.9330,0.8891,-0.0046,0.0531,433
vowel,other,baseline,0.9420,0.9420,0.9379,0.9099,0.7577,0.0041,0.1844,2674
vowel,other,noisy,0.9518,0.9503,0.9536,0.9402,0.8807,-0.0019,0.0711,2674
