axis,condition,model,reproduced,claim,delta_pp,FLAG
clean_val,clean,rec,0.948513,0.948513,-0.0000,OK
clean_val,clean,ffm,0.958238,0.958238,-0.0000,OK
clean_val,clean,ffc,0.956712,0.956712,+0.0000,OK
rawnoise_sweep,0.0500,rec,0.717010,0.717010,-0.0000,OK
rawnoise_sweep,0.0500,ffm,0.439169,0.439169,-0.0000,OK
rawnoise_sweep,0.0500,ffc,0.609268,0.609268,-0.0000,OK
E11_temporal,delta_ms=-100,rec,0.719298,0.719298,+0.0000,OK
E11_temporal,delta_ms=-100,ffm,0.460526,0.460526,+0.0000,OK
E11_temporal,delta_ms=-100,ffc,0.475400,0.475400,+0.0000,OK
D5_temporal_saliency,"win=[20,30)",rec,0.222349,0.222349,+0.0000,OK
D5_temporal_saliency,"win=[20,30)",ffm,0.241037,0.241037,+0.0000,OK
D5_temporal_saliency,"win=[20,30)",ffc,0.213768,0.213768,+0.0000,OK

integrity,param_ratio_rec_over_ffm,,1.0557,0.90-1.10,,OK
integrity,gru_whh_rel_drift,,2.1539,2.153921,,OK
integrity,gru_whh_init_norm,,7.9424,,,
integrity,gru_whh_trained_norm,,18.5946,,,
integrity,ffc_clean_selfcheck,,0.956712,0.956712,,OK
